,Unnamed: 0,Unnamed: 0.1,Coffee Name,Roaster Name,Roaster Location,Coffee Origin,Rating,Roast Level,Review Date,Price,Agtron,Flavor,Body,Aroma,Aftertaste,Acidity,Bottom Line,Prices Per Oz,Agtron Whole,Agtron Ground,Coffee Country
29,29,47,Ethiopia FTO,Equator Coffees,"San Rafael, California",Ethiopia,92,Medium-Light,February 2020,$17.99/12 ounces,54/72,9,8,9,8,8.0,"A friendly, straightforward washed Ethiopia cup with both organic and fair trade credentials.",1.5,54,72,Ethiopia
30,30,48,Ethiopia Sidamo,Larry's Coffee,"Raleigh, North Carolina","Sidamo (also Sidama) growing region, southern Ethiopia",92,Medium,February 2020,$13.99/12 ounces,47/65,9,8,9,8,8.0,A washed Sidamo cup with a developed roast profile that amplifies chocolate and floral notes; deeply and richly sweet throughout.,1.17,47,65,Ethiopia
31,31,49,Colombia,Big Shoulders Coffee,"Chicago, Illinois",Colombia,91,Medium,February 2020,$10.95/12 ounces,52/66,9,9,8,7,8.0,"A deftly medium-roasted Colombia cup, balanced and satisfying in its familiar pleasures.",0.91,52,66,Colombia
32,32,50,Kenya Zuri,Allegro Coffee Roasters,"Thornton, Colorado",Kenya,90,Medium,February 2020,$14.99/12 ounces,52/66,9,8,8,7,8.0,"A straightforward, accessible Kenya cup with big chocolate notes as a throughline.",1.25,52,66,Kenya
33,33,51,Guatemala Dark Roast FTO,Cafe Femenino,"Hillsborough, North Carolina","Sololá, Guatemala",90,Medium-Dark,February 2020,$13.99/12 ounces,42/54,9,9,8,7,7.0,A darker-roasted Guatemala coffee that highlights pleasing cocoa and dried fruit notes.,1.17,42,54,Guatemala
34,34,52,Honduras Atanacio Nolasco,3-19 Coffee,"San Francisco, California","Santa Elena, La Paz, Honduras",90,Medium,February 2020,$14.99/10 ounces,53/66,8,8,8,8,8.0,"A pleasing, balanced Honduras cup with pretty nut tones throughout.",1.5,53,66,Honduras
35,35,53,Ethiopia Sidamo,Joe Van Gogh,"Hillsborough, North Carolina","Sidamo (also Sidama) growing region, southern Ethiopia",90,Medium-Light,February 2020,$13.99/12 ounces,54/70,8,8,8,8,8.0,An easy-drinking natural-processed Ethiopia cup with ballast from spice-toned aromatic wood and florals.,1.17,54,70,Ethiopia
36,36,54,Sidamo Suke Quto,Signature Reserve,"Pleasanton, California","Sidamo (also Sidama) growing region, southern Ethiopia",90,Medium,February 2020,$11.29/12 ounces,50/64,9,8,8,7,8.0,A medium-roasted Ethiopia cup with pleasing cocoa and citrus notes throughout; wood-centered in the finish.,0.94,50,64,Ethiopia
37,37,55,Guatemala (from bulk bin),Cameron’s Coffee,"Shakopee, Minnesota",Guatemala,89,Medium,February 2020,$6.99/16 ounces,44/60,9,8,8,7,7.0,A good-value darker roasted Guatemala driven by quiet chocolate and nut notes.,0.44,44,60,Guatemala
38,38,56,Colombia,HT Traders,"Matthews, North Carolina",Colombia,89,Medium-Dark,February 2020,$4.99/12 ounces,40/56,9,8,8,7,7.0,"A comfortingly familiar, darker roasted Colombia cup built around dark chocolate with undertones of vanilla-like florals.",0.42,40,56,Colombia
39,39,57,Colombia,Eight O'Clock Coffee,"Landover, Maryland",Colombia,88,Medium,February 2020,$9.29/22 ounces,46/60,8,8,8,7,7.0,"A roast-prominent, cocoa-toned Colombia cup with an intriguing sweet-tart note.",0.42,46,60,Colombia
40,40,58,100% Guatemalan,Hill's Bros. Coffee,"San Francisco, California",Guatemala,87,Medium-Dark,February 2020,$8.99/32 ounces,41/53,8,7,8,7,7.0,A sweet though muted Guatemala cup: roasty cocoa and nut.,0.28,41,53,Guatemala
41,41,59,Sumatra Dark,Starbucks Coffee,"Seattle, Washington","Indonesia, Indonesia",87,Dark,February 2020,$10.49/12 ounces,31/44,8,8,7,7,7.0,"A good choice for those who like classic dark-roasted Sumatras: earthy-sweet, smoky chocolate.",0.87,31,44,Indonesia
42,42,60,100% Kona Bourbon Pointu Laurina,Hula Daddy Kona Coffee,"Holualoa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawaii",95,Medium-Light,February 2020,$62.95/8 ounces,53/75,9,9,9,9,9.0,"An aromatically complex, original cup that balances an enveloping sweetness with a quietly forceful pungency.",7.87,53,75,USA
43,43,65,Guatemala Maragogype La Providencia,Bird Rock Coffee Roasters,"San Diego, California","Huehuetenango, Guatemala",93,Medium-Light,February 2020,$19.00/12 ounces,56/74,9,8,9,8,9.0,"A striking cup from this rare variety: sweet, tart, rich, deep, and floral through and through.",1.58,56,74,Guatemala
44,44,66,El Salvador Finca El Cerro Natural,Red Rooster Coffee Roaster,"Floyd, Virginia","Apaneca-Ilamatepec Mountain Range, El Salvador",94,Medium-Light,February 2020,$22.99/12 ounces,58/78,9,9,9,8,9.0,"A resonantly fruit-forward, cocoa-toned natural-processed Pacamara cup, with high-toned florals and richly bittersweet citrus notes throughout.",1.92,58,78,El Salvador
45,45,69,Ethiopia Shakiso,Battlecreek Coffee Roasters,"Battle Creek, Michigan","Odo Shakiso District, Guji Zone, Oromia region, southern Ethiopia",93,Medium-Light,January 2020,$18.00/12 ounces,60/78,9,9,9,8,8.0,"An elegant, richly-layered single-farm Ethiopia cup. Natural processing develops sweet berry notes throughout.",1.5,60,78,Ethiopia
46,46,70,Madagascar Yellow Bourbon Santatra Coop,Paradise Roasters,"Minnesota, Minnesota",Madagascar,92,Medium-Light,January 2020,$19.95/8 ounces,58/78,9,8,9,8,8.0,"An intriguing cup from the little-known coffee-producing region Madagascar: sweet, tart, balanced and inviting.",2.49,58,78,Madagascar
47,47,72,Finca La Montana Costa Rica,Press House Coffee,"Pittsburgh, Pennsylvania","Tarrazu, Costa Rica",92,Medium,January 2020,$16.00/14 ounces,47/61,9,9,9,7,8.0,A richly sweet and fruit-forward Costa Rica cup with a developed roast profile that highlights chocolate and floral tones.,1.14,47,61,Costa Rica
48,48,78,Panama Esmeralda Geisha Natural,Paradise Roasters,"Minneapolis, Minnesota","Boquete growing region, western Panama",96,Medium-Light,December 2019,$19.95/4 ounces,56/74,10,9,9,9,9.0,"A high-toned, richly floral natural-processed Geisha cup from the famed Hacienda La Esmeralda farm in Boquete, Panama animated by crisp, citrusy fruit notes throughout.",4.99,56,74,Panama
49,49,79,Ethiopia Suke Quto Honey,Paradise Roasters,"Minneapolis, Minnesota","Guji Zone, Oromia Region, south-central Ethiopia",95,Medium-Light,December 2019,$19.75/12 ounces,52/70,9,9,9,9,9.0,A deeply nuanced coffee with bittersweet citrus and sweet florals in front and ballast from rich chocolate and nougat.,1.65,52,70,Ethiopia
50,50,89,Puna Champagne Natural Anaerobic,Paradise Roasters,"Minneapolis, Minnesota","Puna, Big Island of Hawaii",93,Medium-Light,December 2019,$19.95/4 ounces,58/78,9,9,9,8,8.0,"A fruit- and floral-toned coffee from a lesser-known growing region on the Big Island of Hawai’i is worth seeking out for its balanced completeness and its suggestions of the tropics, both aromatically and in the cup.",4.99,58,78,USA
51,51,90,Costa Rica Las Lajas Red Honey,Durango Coffee Company,"Durango, Colorado","Sabanilla de Alajuela, Costa Rica",93,Medium,December 2019,$15.95/12 ounces,50/66,9,9,9,8,8.0,"A sweet, multi-layered Costa Rica cup, its rich fruit amplified by skillful red honey processing.",1.33,50,66,Costa Rica
52,52,91,Refisa Ethiopia,JBC Coffee Roasters,"Madison, Wisconsin","Nensebo Woreda, Sidama, Ethiopia",93,Medium-Light,December 2019,$16.80/12 ounces,58/80,9,8,9,8,9.0,"A classically bright, floral-toned washed Ethiopia cup with added vivacity from stone fruit and citrus notes.",1.4,58,80,Ethiopia
53,53,92,La Lindura Colombia,JBC Coffee Roasters,"Madison, Wisconsin","Dolores, Tolima Department, Colombia",92,Medium-Light,December 2019,$16.20/12 ounces,54/72,9,8,9,8,8.0,A balanced Colombia cup with notes of stonefruit and citrus on top and deep cocoa and rich aromatic wood underneath.,1.35,54,72,Colombia
54,54,93,Butare Huye of Rwanda,San Francisco Bay Coffee,"Lincoln, California",Rwanda,91,Medium,December 2019,$17.99/12 ounces,50/64,9,8,9,7,8.0,A Rwanda cup pleasingly balanced between sweet fruit and chocolate and rich aromatic wood.,1.5,50,64,Rwanda
55,55,94,La Finca Medina of Guatemala,San Francisco Bay Coffee,"Lincoln, California",Guatemala,90,Medium,December 2019,$17.99/12 ounces,47/63,8,8,9,7,8.0,Enjoy this straightforward Central America cup for its mild acidity and its sweet nut and deep floral notes.,1.5,47,63,Guatemala
56,56,95,Peaberry Blend,San Francisco Bay Coffee,"Lincoln, California",World Blend,88,Medium,December 2019,$17.99/12 ounces,45/65,8,8,8,7,7.0,"An attractive choice for lovers of darker-roasted blends: sweet chocolate and flowers alongside dried fruit notes, with prominent smoky wood throughout.",1.5,45,65,World Blend
57,57,97,2019 Celebration,Highwire Coffee Roasters,"Emeryville, California",World Blend,94,Medium,December 2019,$18.75/12 ounces,47/67,9,9,9,8,9.0,"A roast-forward blend that emphasizes chocolate and floral notes while developing the savory inclination of the green coffees as well: rich, musky, sweet. Might be particularly nice — apologies to purists — with a splash of milk.",1.56,47,67,World Blend
58,58,99,Holiday Sweet Blend,Red Rooster Coffee Roaster,"Floyd, Virginia",World Blend,93,Medium,December 2019,$18.99/12 ounces,51/69,9,9,9,8,8.0,"An integrated, harmonious blend of washed- and natural-process coffees that highlights both sweet (blueberry) and tart (tamarind) fruits with big chocolate throughout.",1.58,51,69,World Blend
59,59,100,Winter Solstice Blend,Kickapoo Coffee Roasters,"Driftless, Wisconsin",Peru,92,Medium-Light,December 2019,$15.00/12 ounces,53/71,9,9,8,8,8.0,A sweetly nutty and cocoa-toned cup with an especially buoyant mouthfeel.,1.25,53,71,Peru
60,60,101,Festivity Blend,Temple Coffee Roasters,"Sacramento, California",World Blend,92,Medium,December 2019,$18.00/12 ounces,48/62,9,8,9,8,8.0,"An engaging, delicately spice-inflected blend pleasingly complicated by chocolate and citrus zest.",1.5,48,62,World Blend
61,61,103,Invincible Sun God,Modern Times Coffee,"San Diego, California",World Blend,92,Medium-Light,December 2019,$16.00/12 ounces,48/84,9,8,9,8,8.0,"This coffee’s name is loosely drawn from the name of the winter solstice celebration for Mithraism, ""Natalis Solis Invincti,"" which means “birthday of the unconquerable sun.” Drink it if for no other reason than this.",1.33,48,84,World Blend
62,62,104,Wonderland Winter Solstice Holiday Blend,Open Seas Coffee,"Stevensville, Maryland",World Blend,91,Medium-Light,December 2019,$15.25/8 ounces,60/76,9,8,8,8,8.0,"A friendly, balanced blend, equally sweet and tart, animated by a delicate cocoa.",1.91,60,76,World Blend
63,63,105,Dark Roast Holiday Blend,Peet's Coffee,"Berkeley, California",World Blend,86,Dark,December 2019,$18.00/16 ounces,36/44,8,7,8,6,7.0,"An interesting blend skillfully dark-roasted, save for the bitter, burned finish. Otherwise, quietly intriguing, sweet and smoky.",1.12,36,44,World Blend
64,64,107,Ethiopia Idido Wegida,Amavida Coffee Roasters,"Santa Rosa Beach, Florida","Yirgacheffe growing region, southern Ethiopia",93,Medium-Light,December 2019,$19.95/12 ounces,58/76,9,9,9,8,8.0,"A deeply sweet washed-process Ethiopia cup, spice-toned with elegant suggestions of dried stone fruit.",1.66,58,76,Ethiopia
65,65,108,Kenya Kirinyaga,Big Shoulders Coffee,"Chicago, Illinois","Kirinyaga District, south-central Kenya",93,Medium-Light,December 2019,$21.00/12 ounces,59/75,9,9,9,8,8.0,"A balanced, sweet-savory Kenya cup with classic currant notes and a rich bittersweet undercurrent suggesting hop flowers throughout.",1.75,59,75,Kenya
66,66,110,Mbeguka Kenya,Amavida Coffee Roasters,"Santa Rosa Beach, Florida","Kibugu Village, Embu County, Kenya",93,Medium-Light,December 2019,$19.95/12 ounces,54/74,9,8,9,8,9.0,"A deeply sweet Kenya with classic red berry notes, bittersweet florals, and minty herb notes.",1.66,54,74,Kenya
67,67,111,Guatemala La Folie,Big Shoulders Coffee,"Chicago, Illinois","Antigua, Guatemala",92,Medium-Light,December 2019,$21.00/12 ounces,58/74,9,9,8,8,8.0,"A friendly, accessible Guatemala cup that leads with pleasing nut tones supported by spice-toned fruit. Gentle though expressive acidity.",1.75,58,74,Guatemala
68,68,113,Costa Rica Farmer’s Project,Big Shoulders Coffee,"Chicago, Illinois",Costa Rica,90,Medium-Light,December 2019,$18.00/12 ounces,54/74,8,8,9,7,8.0,"An appealing blend of Costa Rica coffees that supports a local farmer’s collective: crisp, sweet and balanced.",1.5,54,74,Costa Rica
69,69,115,Guatemala Concepción Buena Vista,Klatch Coffee,"Los Angeles, California","Chimaltenango, Guatemala",90,Medium-Light,December 2019,$16.95/12 ounces,59/77,8,8,8,8,8.0,"A friendly, accessible Central America cup, crisply sweet with notes of stone fruit, cocoa and hazelnut.",1.41,59,77,Guatemala
70,70,117,El Salvador Las Mercedes Pacamara Honey,Klatch Coffee,Los Angeles,"Cerro El Tigre, El Salvador",93,Light,December 2019,$16.95/12 ounces,60/82,9,9,9,8,8.0,"A deeply sweet Pacamara cup with savory undertones throughout, reminiscent of fine musk and marjoram-like sweet herbs.",1.41,60,82,El Salvador
71,71,119,Panama Esmeralda Geisha Portón Oro Yeast,Klatch Coffee,"Los Angeles, California","Alto Quiel, Panama",94,Medium-Light,November 2019,$69.95/6 ounces,59/77,9,9,9,8,9.0,"An exceptionally high-toned natural-processed Panama Geisha coffee with especially vibrant acidity, balanced structure, and deep floral notes throughout the profile.",11.66,59,77,Panama
72,72,123,Ethiopia Nansebo Worka,Red Rooster Coffee Roaster,"Floyd, Virginia","Yirgacheffe, southern Ethiopia",95,Medium-Light,November 2019,$20.99/12 ounces,56/74,9,9,9,9,9.0,"An elegant, high-toned, washed-process Yirgacheffe cup saturated with floral and fruit notes throughout and a particularly engaging sweet-citrusy acidity.",1.75,56,74,Ethiopia
73,73,126,Panama Elida Natural Catuai,Klatch Coffee,"Los Angeles, California","Alto Quiel, Panama",95,Medium-Light,November 2019,$21.95/12 ounces,58/78,9,9,9,9,9.0,"An explosively sweet, fruit-forward natural-processed coffee produced by the same farm that gave us the latest price-record-breaking, most sought-after Geisha in the world. Consider this coffee a worthy and affordable cousin.",1.83,58,78,Panama
74,74,128,Ethiopia Yirgacheffe GR1 Bedhatu Jibicho Washed,Klatch Coffee,"Los Angeles, California","Yirgacheffe growing region, southern Ethiopia",93,Medium-Light,November 2019,$17.95/12 ounces,56/74,9,9,9,8,8.0,"A balanced, crisply herb-toned washed Yirgacheffe cup deepened by sweet stonefruit notes.",1.5,56,74,Ethiopia
75,75,129,Kenya Nyeri Othaya Gura AA,Klatch Coffee,"Los Angeles, California","Nyeri growing region, south-central Kenya",93,Medium-Light,November 2019,$20.95/12 ounces,58/78,9,8,9,8,9.0,"A balanced, cocoa-driven Kenya cup with classic currant notes and rich florals throughout.",1.75,58,78,Kenya
76,76,132,Kenya Ndaroini,Temple Coffee Roasters,"Sacramento, California","yeri growing region, south-central Kenya",93,Medium,November 2019,$24.50/12 ounces,51/67,9,8,9,8,9.0,"A medium-roasted Kenya that highlights the coffee’s chocolate tendencies, with lively, high-toned acidity.",2.04,51,67,Kenya
77,77,133,Harimau Tiger Sumatra,JBC Coffee Roasters,"Madison, Wisconsin","Mandheling growing region, northern Indonesia, Indonesia",96,Medium-Light,November 2019,$17.20/12 ounces,52/70,10,9,9,9,9.0,"An alluring Sumatra cup, both classic and innovative: sweetly earth-framed (classic) but profoundly high-toned (innovative) with nuanced complexity.",1.43,52,70,Indonesia
78,78,134,Gachami Kenya,JBC Coffee Roasters,"Madison, Wisconsin","Kirinyaga District, south-central Kenya",94,Medium-Light,November 2019,$19.20/12 ounces,56/72,9,9,9,8,9.0,"A classic Kenya cup with bright, juicy fruit and lively sweet-tart acidity.",1.6,56,72,Kenya
79,79,136,Finca Santa Isabel Guatemala,JBC Coffee Roasters,"Madison, Wisconsin","Santa Rosa growing region, Guatemala",90,Medium-Light,November 2019,$16.90/12 ounces,55/73,8,8,8,8,8.0,"A straightforward, deeply sweet, cocoa-laden Guatemala cup.",1.41,55,73,Guatemala
80,80,141,Washed Geisha Hacienda La Esmeralda Jaramillo Special,Dragonfly Coffee Roasters,"Boulder, Colorado","Boquete growing region, Panama",97,Medium-Light,November 2019,$125.00/4 ounces; limited availability,56/76,10,9,10,8,10.0,"A stunning, high-toned Geisha, downright majestic in the clarity of its aromatics and lyrical structure.",31.25,56,76,Panama
81,81,144,Panama Perci Geisha Natural,Willoughby's Coffee & Tea,"Branford, Connecticut","Volcan, Panama",96,Medium-Light,November 2019,$60.00/8 ounces,52/72,10,9,10,9,8.0,"A lush, juicy, tropical natural-processed profile overlaid on a deep, spicy/savory profile with something else as well, an edge we might associate with fermented foods like yogurt or pickles. Clearly for coffee adventurers.",7.5,52,72,Panama
82,82,145,Cordillera del Fuego Costa Rica Anaerobic,Black & White Coffee Roasters,"Wake Forest, North Carolina","Tarrazu, Costa Rica",93,Medium-Light,November 2019,$20.00/12 ounces,54/72,9,8,9,8,9.0,"A high-toned, cleanly fruit-forward Costa Rica cup with deeply rich savory underpinnings.",1.67,54,72,Costa Rica
83,83,146,Cordillera del Fuego Costa Rica Anaerobic,Collage Coffee,"Grove City, Pennsylvania","Tarrazu, Costa Rica",93,Medium-Light,November 2019,$15.00/10 ounces,55/76,9,8,9,9,8.0,"An anaerobic-processed coffee whose startling originality leans toward musk, chocolate and cinnamon.",1.5,55,76,Costa Rica
84,84,148,Costa Rica Anaerobic,Manzanita Roasting Company,"San Diego, California","Tarrazu, Costa Rica",93,Light,November 2019,$18.00/12 ounces,64/88,9,9,9,8,8.0,"The complex, sweet-spicy character of Mexican chocolate dominates in this shifting, surprising, but ultimately balanced cup.",1.5,64,88,Costa Rica
85,85,151,Ethiopia Sidama Naia Bombe Dry Ferment Vertical Reserve,Coffeebar,"Truckee, California","Jimma Zone, Oromia State, Ethiopia",93,Medium-Light,November 2019,$20.00/12 ounces,60/81,9,8,9,8,9.0,"A processing variation (fermentation without added water) perhaps contributes to the deep, savory-sweet floral-toned intrigue of this fine washed-process Ethiopia.",1.67,60,81,Ethiopia
86,86,152,Colombia Monteblanco Gesha Cold Fermentation,Old Soul Co.,"Sacramento, California","Palestina region, Huila Department, Colombia",93,Medium,November 2019,$40.00/8 ounces,52/68,9,9,9,8,8.0,"Deeply sweet in structure with savory undertones and intriguing, original aromatics centered on brisk, bittersweet flowers.",5.0,52,68,Colombia
87,87,155,Chania Kenya,Lexington Coffee Roasters,"Lexington, Virginia","Thika Plateau, Central Highlands, Kenya",93,Medium-Light,October 2019,$23.95/12 ounces,56/75,9,9,9,7,9.0,"Drink it if you like a nuanced but bright, sweet-tart cup in the traditional style.",2.0,56,75,Kenya
